video_id,title,view_count,like_count,comment_count,timestamp
l_X-zbyIz-4,새 칼 팔 생각에 신나버린 20살 최강림. 신비아파트 신작영화 예고편 완벽분석!,82580,1514,308,2025-12-14 05:49:31
zvFUiBIkRRc,상호님 닉 가리고 보면 프로였어요【SLL EP.06】,82178,916,97,2025-12-14 05:49:31
RLp3q5bgoB0,[메이플스토리 맑음] 메이플 크라운 쇼케이스 요약 정리 (2025 겨울) 링크 3레벨 확장 / 하이퍼 버닝 / 신규 보스 / 키네 리마 / 챌린저스 월드 / 크라운 쇼케이스 보상등,82127,608,408,2025-12-14 05:49:31
dThw5R-eGvU,4수박사때문에 행복사하는 클리드 ㅋㅋㅋㅋ | SLL EP.9,82056,665,140,2025-12-14 05:49:31
Wr7Lzq6yCT4,MIDNIGHT SKY,80678,1132,17,2025-12-14 05:49:31
mdppP5SSJm8,어메이징디지털서커스 7화 같이보기!! 폼니 앞에 나타난 탈출버튼..! 폼니의 선택은?!,77408,1364,196,2025-12-14 05:49:31
mJwYvyhVJDA,"탱커킹★아이온2 검성 ""4일차"" 3100을 향해서~",76313,1077,0,2025-12-14 05:49:31
Ev81LD1_ClU,[빅보스 12. 13 ] 리니지m : 야히 투구 제작 이제 끝이 보이네 ?? (연금 100개 준비 완료),76070,2692,30,2025-12-14 05:49:31
2Aj5ejfJLcA,신들린 셰리프 샷을 보여줬던 날...,75927,1550,121,2025-12-14 05:49:31
DBWveWHAwA0,"""0.1% 루돌프 시크릿""부터 로스 캔디 시크릿!! 그리고 초희귀 한정판 산타 67까지 ㄷㄷㄷ 크리스마스 시크릿들 잔뜩 얻었습니다 ㅋㅋㅋㅋ  (로블록스 브레인롯 훔치기)",73464,1400,319,2025-12-14 05:49:31
kqC5R90Zl6s,HARARI FLOW (feat. GGM Kimbo),72968,1256,0,2025-12-14 05:49:31
SBS0-KkN_Lo,소고기를 먹고 미쳐버린 공포의 소 ㄷㄷ,72597,673,61,2025-12-14 05:49:31
dtuu5PCZl4c,잠수함 패치로 떡상 해버린 샤코,72055,636,105,2025-12-14 05:49:31
LI_rPpSwdYk,식인 사슴이 고고프렌즈 6번째 멤버!? 사슴이랑 친구되는 방법 알아왔습니다 ㅋㅋ[99밤 포레스트],71596,914,212,2025-12-14 05:49:31
_57PBNAItEk,철권태그 토요일 밤 철권 | Tekken Tag | Retro Game | 2025-12-13,59676,357,1,2025-12-14 05:49:31
sHqkq_1YbyA,0.0000001%만 알고있는 코드를 써서 초희귀 한정판 67 브레인롯을 얻었습니다.. (브레인롯 훔치기),58797,564,129,2025-12-14 05:49:31
wbpRcX4L3A0,드디어 나오는 신규 전설 브롤러!! 신규 버피 능력들까지 공개!! [브롤스타즈 12월 브롤토크 완벽 분석],53809,877,280,2025-12-14 05:49:31
HoxGdgtsKvI,"토탈워: 워해머 40,000 - 발표 트레일러",51521,1040,375,2025-12-14 05:49:31
lXe9nhIgfQo,Perfect Sunset,48677,1133,0,2025-12-14 05:49:31
XNkvCwln1LE,Marry Me (with. Gu Yoon Hoe),46467,126,9,2025-12-14 05:49:31
Nu-Heck9TY8,이 영상은 팀오비스트와 유기사가 17분 동안 소리 지르는 영상입니다.,46146,861,83,2025-12-14 05:49:31
siIr5Sacfuw,[메이플] 기습 리마스터가 들어와버린 키네시스 테썹 탐험기,45931,275,153,2025-12-14 05:49:31
KwkdodA-T28,99일 숲에 잔인한 루돌프 보스 등장!! 위기의 크리스마스 숲을 지키고 사탕 쓸어담는 방법 발견!! (로블록스 99나이트인더포레스트),43438,497,62,2025-12-14 05:49:31
ml1O-QRfKVY,TimeFeveR(타임피버) - 오늘 처음 봤지만 (feat. Gist) Official M/V,41642,1283,155,2025-12-14 05:49:31
Y9krgTl2wBo,"""23세, 알콜중독 여자 히어로💥"" ≪슈퍼걸≫ 1차 예고편 나노분석",39689,809,125,2025-12-14 05:49:31
8ArBq-LV-HQ,세상에서 가장 웃긴 잼민이 핵쟁이를 만났습니다ㅋㅋㅋ (99일 밤 99 나이트 인 더 포레스트),38101,721,157,2025-12-14 05:49:31
eJXXH69ZP58,2025 칼페온 연회 | 검은사막 Black Desert,35649,693,171,2025-12-14 05:49:31
hgln65H8jJA,12월이 되면 듣고 싶은 7080 노래 🎧 7080 추억의 노래 25곡 모음 |50대 60대 마음을 울리는 추억의 노래.바람바람바람/귀거래사/그집앞,34886,352,12,2025-12-14 05:49:31
CqH5EjkfOBA,마크에이지 리턴즈3 2회차 초반부터 번지는 불신 :  4부 (완결) | 악어 마인크래프트 M.C.Age Returns 3,31671,441,111,2025-12-14 05:49:31
c25g2KSKm9k,"브롤 토크 : 버피, 카오스 드롭 그리고 브롤 패스 리워크! [브롤스타즈]",27998,472,277,2025-12-14 05:49:31
PCwNkoJZB-Y,신창섭 메이플 쇼케이스 3분 완전 요약,27394,135,89,2025-12-14 05:49:31
cdmKq9I0Ta4,탈출이 불가능하도록 설계된 감옥을 기어코 뚫고 나왔습니다,26658,960,105,2025-12-14 05:49:31
MXz5PD4mrnQ,I couldn’t say,23414,289,2,2025-12-14 05:49:31
9tYYEl3IyOw,99일 생존 크리스마스 업데이트 [숲에서 보낸 99일 밤🔦99일 나이트 인 더 포레스트],22964,447,127,2025-12-14 05:49:31
DY0nD5NZxi8,"차 안에서 듣는 트로트 | 드라이브 음악💖하루 종일 듣기 좋은 노래 모음🎶흘러간 옛노래 뽕짝 메들리 가사 포함,추억의 트로트 명곡 모음💿 잊을 수 없는 그 시절의 감성",3616,53,0,2025-12-14 05:49:31
